title,locate,tag,numOfPeople,totalMoney,percentage,author
登上2018年福布斯榜的他，让年轻人从零食里吃出自己的态度,杭州市,休闲,102,8057580,805758.00,郭竞
20年深耕，把“有机高端食材”端上中国人的餐桌！,苏州市,农业,194,2700062,2700.06,顾海明
香天下火锅，征服英国首相的一口好锅,无锡市,餐饮,50,1650002,3300.00,朱弘
在内蒙古大草原“种”出来的大米，不比五常大米差,呼伦贝尔市,农业,35,207656,10382.80,沃小枫
酿酒熊席卷魔都，新概念酿造体验店入驻“陆家嘴后花园”,浦东新区,餐饮,63,2430002,4860.00,黄竞进
行走的网红杯，一碗鲜香入魂,厦门市,餐饮,79,96025,1920.50,林文钦
摒弃膨化油腻！摒弃清淡寡味！国产麦片界扛把子王饱饱来啦,杭州市,休闲,79,35138,7027.60,姚婧
冬令进补，为你把二十四节气的关怀送到你爱的人身边,杭州市,农业,25,21564,1078.20,竺啸恒
一群人，一辈子，只为解决一个头部问题,北京市,休闲,6,300000,30000.00,吴庆辉
Darling，香薰是我秘而不宣的另一面,朝阳区,休闲,94,70193,7019.30,熊若君
从庙堂到江湖，《我在故宫修文物》姊妹篇来了,杭州市,休闲,313,39902,798.04,萧寒
袁隆平亲题“中国黄花菜之乡”，这口黄花菜提了满桌的鲜,衡阳市,农业,131,16664,833.20,周军
每天8W人排队打卡，迪士尼边让你梦回童年,浦东新区,酒店,32,1080001,1080.00,王志超
Beauty kei，让漂亮这件事儿回归简单和天然,昆明市,休闲,29,84370,8437.00,王艳
面朝大海，吃住一体，宅这里又来了！,厦门市,民宿,173,5016001,10032.00,郑少琼
100%好评率的秘密，藏在松赞林寺旁的小院里,迪庆藏族自治州,酒店,80,1740000,1740.00,容立红
打造泛电影娱乐私人空间，梦想空间带你进入观影2.0时代,上海市,休闲,27,775001,1550.00,冯启耀
小小特工引入全息智能设备，打造1-12岁一站式运动培训体系,上海市,休闲,10,500001,1000.00,田新建
1538软黄金羊绒衣，好莱坞明星都爱穿它,广州市,休闲,95,120905,2418.10,韩滨
TFS开启密室3.0娱乐时代，王思聪、谢娜、贾玲纷纷打卡,朝阳区,休闲,46,2025000,4050.00,满毅
在神田川，寻找属于你的美味N次方,杭州市,餐饮,10,3086000,61720.00,林晨
